scene_name,criterion,trial_idx,seed,method_id,method_name,objective_init,objective_final,reduction_pct,time_sec,iterations,min_eigJ,min_sin_init,min_sin_final
cube,dopt,1,55,gs_sqp,GS-SQP,18.8381215037713,17.7582804558676,5.73221192828324,0.524277416666667,18,0.00268662693180743,1,1
cube,dopt,1,55,iso_sqp,Iso-SQP,18.8381215037713,18.6664859656481,0.911107501291056,0.852472333333333,100,0.00198492050611226,1,1
cube,dopt,1,55,manopt,Manopt,18.8381215037713,17.7582836233737,5.73219511394152,1.397553875,50,0.00268661637874223,1,0.168443740946306
cube,dopt,1,55,tr_sqp,TR-SQP,18.8381215037713,17.8194741697352,5.40737214075264,3.73335966666667,80,0.00257693545078452,1,0.998799195760047
cube,dopt,1,55,pso,PSO,18.8381215037713,17.7934736623791,5.54539284176012,0.171560375,80,0.0025381454662633,1,0.165540940982894
cube,dopt,1,55,de,DE,18.8381215037713,17.9933686026579,4.48427355638525,0.238540541666667,80,0.00198318577223682,1,0.633732293991764
cube,dopt,2,56,gs_sqp,GS-SQP,19.3415050150571,17.7426745612445,8.26631874080089,0.394902333333333,18,0.0026973067835465,1,1
cube,dopt,2,56,iso_sqp,Iso-SQP,19.3415050150571,18.523258482202,4.23052152465929,0.863560041666667,100,0.00208197388049212,1,1
cube,dopt,2,56,manopt,Manopt,19.3415050150571,17.7426753929315,8.26631444078899,1.33916654166667,50,0.00270047419283005,1,0.0823718580931119
cube,dopt,2,56,tr_sqp,TR-SQP,19.3415050150571,17.7787487263606,8.07980706506484,3.79923466666667,80,0.00264551048255506,1,0.998520615571783
cube,dopt,2,56,pso,PSO,19.3415050150571,17.7436184047062,8.26143885445816,0.186930666666667,80,0.00262594464029006,1,0.260001840820015
cube,dopt,2,56,de,DE,19.3415050150571,17.9194468371628,7.35236568605789,0.2386555,80,0.00204899869186239,1,0.227809807292878
cube,dopt,3,57,gs_sqp,GS-SQP,19.305389747998,17.795820063583,7.81942091882178,0.30686925,14,0.00265246345059375,1,1
cube,dopt,3,57,iso_sqp,Iso-SQP,19.305389747998,18.5395161649879,3.96714903458252,0.983222416666667,100,0.0020707336793294,1,1
cube,dopt,3,57,manopt,Manopt,19.305389747998,17.79582010242,7.81942071764998,1.64624766666667,50,0.0026532669325582,1,0.917089449470549
cube,dopt,3,57,tr_sqp,TR-SQP,19.305389747998,17.8027785167064,7.78337682329035,3.64553554166667,80,0.00262814818872913,1,0.998699476143912
cube,dopt,3,57,pso,PSO,19.305389747998,18.040351814684,6.55277075380059,0.19853875,80,0.00231694458826194,1,0.906795787790997
cube,dopt,3,57,de,DE,19.305389747998,17.9692912268883,6.9208575353847,0.239334625,80,0.00220033316296874,1,0.503255170660701
cube,dopt,4,58,gs_sqp,GS-SQP,19.477182389381,17.7798379439577,8.71452765338741,0.349884666666667,16,0.00266671979609484,1,1
cube,dopt,4,58,iso_sqp,Iso-SQP,19.477182389381,18.6075736990287,4.46475610777503,0.921070458333333,100,0.00202429295650381,1,1
cube,dopt,4,58,manopt,Manopt,19.477182389381,17.7798388861327,8.71452281606048,1.60684695833333,50,0.00266724608247621,1,0.949055609612981
