scene_name,case_label,criterion,method_id,method_name,trial_idx,seed,objective_init,objective_final,reduction_pct,time_sec,iterations,min_eigJ,min_sin_init,min_sin_final
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,12,66,802.318478605961,255.804167977775,68.1168794189761,0.205841,27,0.00854638028019638,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,12,66,802.318478605961,262.745578305105,67.2517104726756,0.5884103,88,0.00818665920641538,1,0.748630880682611
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,12,66,802.318478605961,657.144346360735,18.0943273919689,0.0268001,53,0.00442722006696713,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,13,67,2446.17488307525,278.756020235715,88.6044116402147,0.2088892,27,0.00784217435710124,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,13,67,2446.17488307525,293.304419594309,88.0096708692562,0.6858289,100,0.00742286484661213,1,0.451711095657012
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,13,67,2446.17488307525,748.984152066513,69.3814143359646,0.0507024,100,0.00341880474851548,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,14,68,924.2629166761,271.272740736661,70.6498296272416,0.2507293,32,0.00805850642271842,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,14,68,924.2629166761,274.489446179823,70.3018003614208,0.5641811,84,0.00780907688787844,1,0.499410165933527
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,14,68,924.2629166761,742.216947728344,19.6963402580775,0.0075047,14,0.00403512344293094,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,15,69,1864.06744492532,254.940894050775,86.3234082680421,0.2001284,27,0.00857385029198878,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,15,69,1864.06744492532,261.072670241734,85.9944622201053,0.3356717,47,0.00828917210985503,1,0.626345921301908
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,15,69,1864.06744492532,546.756975091341,70.6686055496643,0.0305892,61,0.00500478244408601,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,16,70,2987.66763383751,271.458905376342,90.9140192737013,0.1852782,23,0.00805276293195011,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,16,70,2987.66763383751,275.921380721031,90.764656095075,0.4394329,64,0.00775810767340875,1,0.139837980584968
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,16,70,2987.66763383751,794.98573294064,73.3910919696406,0.0442995,85,0.0027522972089824,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,17,71,1166.8701703041,289.446861503962,75.1945958624919,0.2193944,27,0.00755263762306846,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,17,71,1166.8701703041,291.879950867748,74.9860817170705,0.4695052,68,0.0074083428771561,1,0.916016541906115
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,17,71,1166.8701703041,709.250281747362,39.2177210629593,0.0089777,18,0.0042244385190741,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,18,72,672.817208120731,267.915296353133,60.1800766806402,0.3328133,42,0.00815925326435507,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,18,72,672.817208120731,287.73472227906,57.2343396087117,0.1919377,28,0.00778350393162618,1,0.685311540238386
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,18,72,672.817208120731,513.582288789581,23.6668916028345,0.0076464,15,0.00353232819020017,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,19,73,1579.45197710917,266.277441988833,83.1411498514697,0.2249045,29,0.00821081702424038,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,19,73,1579.45197710917,278.514162105795,82.3664051745623,0.6843813,100,0.00764263234661028,1,0.58610095266994
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,19,73,1579.45197710917,588.790684880341,62.7218368514128,0.0479344,96,0.0047115535518477,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,20,74,1221.73693333738,291.567774502181,76.1349790985106,0.1680941,23,0.00749804303433457,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,20,74,1221.73693333738,303.2633929822,75.1776847611715,0.3274391,48,0.00723124156820853,1,0.519829864005336
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,20,74,1221.73693333738,577.4720598628,52.7335186401103,0.0419172,85,0.00463109512493773,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,21,75,872.898619269646,293.616878387947,66.3630034569632,0.2191885,29,0.00744515514658649,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,21,75,872.898619269646,299.027470467598,65.7431614775844,0.3169596,47,0.00716510580493341,1,0.891233718927924
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,21,75,872.898619269646,775.501333169123,11.1579150144624,0.0028939,6,0.00386752947731523,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,22,76,761.930751125174,253.866818155746,66.68111665255,0.2155324,28,0.00861212944322767,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,22,76,761.930751125174,260.62761291542,65.7937926077218,0.1734588,27,0.00836880681497464,1,0.829253552777697
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,22,76,761.930751125174,637.731618489566,16.3005801317506,0.0363967,75,0.0045944079721958,1,1
