scene_name,case_label,criterion,method_id,method_name,mc_trials,objective_init_mean,objective_init_std,objective_final_mean,objective_final_std,reduction_pct_mean,reduction_pct_std,time_sec_mean,time_sec_std,iterations_mean,iterations_std,min_eigJ_mean,min_sin_init_mean,min_sin_final_mean
free_flight,Free-flight A-opt,aopt,gs_sqp_all,all,30,1191.33228037706,544.977515857782,270.952232417178,16.5907341578297,74.035370626634,8.08439272113144,0.226631283333333,0.0429240472036049,29.2333333333333,5.46262115518342,0.00809782155901139,1,1
free_flight,Free-flight A-opt,aopt,gs_sqp_p_only,p-only,30,1191.33228037706,544.977515857782,280.949009212937,18.0534181080197,73.0676786575601,8.43621055940747,0.380716556666667,0.186523147096738,55.5666666666667,27.6663412250628,0.00773605742770275,1,0.675885745553869
free_flight,Free-flight A-opt,aopt,gs_sqp_u_only,u-only,30,1191.33228037706,544.977515857782,661.997610373756,78.6414194672862,37.0539859762703,19.0563914610685,0.01865002,0.0146568279035427,36.2,29.654795506827,0.00407246531564183,1,1
free_flight,Free-flight D-opt,dopt,gs_sqp_all,all,30,16.8283443302956,0.555037330762857,13.338681633043,0.18524234931566,20.6630059047876,2.55396235223258,0.283929136666667,0.116562114185488,39.9,16.8550616566145,0.00637689008028128,1,1
free_flight,Free-flight D-opt,dopt,gs_sqp_p_only,p-only,30,16.8283443302956,0.555037330762857,13.4136280601979,0.189269077700158,20.2158151646262,2.62231472854824,0.34423354,0.174406519260091,52.4666666666667,26.3107862152458,0.00620699442504336,1,0.706809635746657
free_flight,Free-flight D-opt,dopt,gs_sqp_u_only,u-only,30,16.8283443302956,0.555037330762857,16.1264812579544,0.381938736198899,4.11585506086583,2.45545228737573,0.0104119266666667,0.00880157661542496,21.9333333333333,19.1418179753726,0.00407575900792721,1,1
constrained,Constrained A-opt,aopt,gs_sqp_all,all,30,2045.1360270466,517.993729240973,1024.45362318689,5.95844885840862,47.2088536837833,11.2888937341708,0.117767253333333,0.0299191562110382,16.6666666666667,4.30183067152076,0.00292601117079078,1,1
constrained,Constrained A-opt,aopt,gs_sqp_p_only,p-only,30,2045.1360270466,517.993729240973,1384.17271554767,265.645159956592,31.3364521907689,5.41047917121104,0.0965860766666667,0.0513891974254598,14.8666666666667,7.89907604083228,0.00145718130009662,1,0.983880377355272
constrained,Constrained A-opt,aopt,gs_sqp_u_only,u-only,30,2045.1360270466,517.993729240973,1426.77929085697,60.0191815686326,26.7128059956129,14.8765407542266,0.00528432,0.00296288063818608,10.1666666666667,6.17047102283757,0.00210468068887482,1,1
constrained,Constrained D-opt,dopt,gs_sqp_all,all,30,18.9704604187563,0.346607628387853,17.4998655715792,0.0174497752819886,7.72282435103701,1.65575140088347,0.136759246666667,0.0507934791811714,20.0666666666667,7.61999788819472,0.00292170381442204,1,1
constrained,Constrained D-opt,dopt,gs_sqp_p_only,p-only,30,18.9704604187563,0.346607628387853,17.948202915254,0.272663856434976,5.38070791888877,0.803640830003019,0.128863246666667,0.122307149474029,19.9666666666667,18.7460034054772,0.00141981781652983,1,0.985863978774889
constrained,Constrained D-opt,dopt,gs_sqp_u_only,u-only,30,18.9704604187563,0.346607628387853,18.4911588122347,0.125256094551939,2.50143753065142,1.52811264477139,0.00356704,0.00187494649718608,7.4,4.13229501233461,0.00210035146503391,1,1
