scene_name,display_name,criterion,mismatch_radius,sample_count,objective_nominal,normalized_degradation_mean,normalized_degradation_std,normalized_degradation_min,normalized_degradation_max,min_eigJ_mean,min_sin_mean
free_flight,Free-flight,aopt,0,1,264.293426647781,1,0,1,1,0.00827243415393789,1
free_flight,Free-flight,aopt,10,1000,264.293426647781,1.00493965622231,0.0778939782411697,0.876370206068646,1.14319941069665,0.00831297131340078,0.998577148396015
free_flight,Free-flight,aopt,20,1000,264.293426647781,1.02241168150123,0.15673703268756,0.770040977032871,1.30880586723412,0.00840064207613445,0.99430611193229
free_flight,Free-flight,aopt,30,1000,264.293426647781,1.04655544478348,0.241098436067382,0.680637940905805,1.49766981606337,0.00861237246655595,0.98727867644949
free_flight,Free-flight,aopt,40,1000,264.293426647781,1.08717705697795,0.312321579901362,0.608276929910719,1.70794516083329,0.00859404514417519,0.977160148839346
free_flight,Free-flight,dopt,0,1,13.2695182198829,1,0,1,1,0.00650656979034489,1
free_flight,Free-flight,dopt,10,1000,13.2695182198829,1.00024230955879,0.0175743173856481,0.969457126719486,1.02966440812619,0.00654611608283853,0.998494309220965
free_flight,Free-flight,dopt,20,1000,13.2695182198829,1.00155630561272,0.0350942053273957,0.937912456794085,1.05857006851145,0.00663825784297089,0.993979967638992
free_flight,Free-flight,dopt,30,1000,13.2695182198829,1.0024442104081,0.0529059007214136,0.905783573642601,1.08647877937458,0.00686371865393835,0.986550960231676
free_flight,Free-flight,dopt,40,1000,13.2695182198829,1.00627721130393,0.0677999711673413,0.874023292178651,1.11295885658036,0.0070010131720771,0.975779547288429
constrained,Constrained,aopt,0,1,1117.64974209078,1,0,1,1,0.00268335202885205,1
constrained,Constrained,aopt,10,1000,1117.64974209078,1.00094108220842,0.00779631269215262,0.987956988053973,1.01475689534263,0.00257564216895106,0.999613641530364
constrained,Constrained,aopt,20,1000,1117.64974209078,1.00403179438669,0.0156481413464442,0.978429291037921,1.03228178457232,0.00247182165628479,0.998450478171359
constrained,Constrained,aopt,30,1000,1117.64974209078,1.00844104373809,0.0241528354508754,0.971125600582302,1.05289349219382,0.00237694881897322,0.99652759115746
constrained,Constrained,aopt,40,1000,1117.64974209078,1.01570826496547,0.0310065395849806,0.965687907261629,1.07686312357075,0.00227886362363214,0.993895904824484
constrained,Constrained,dopt,0,1,17.7611140816498,1,0,1,1,0.00268074017153877,1
constrained,Constrained,dopt,10,1000,17.7611140816498,1.00004923370208,0.00131787115404255,0.997891416164986,1.00241825769202,0.00257637791928876,0.999613029529171
constrained,Constrained,dopt,20,1000,17.7611140816498,1.00024432800645,0.0026300122060411,0.996078306563472,1.00514011356803,0.00247359903631472,0.99844939195133
constrained,Constrained,dopt,30,1000,17.7611140816498,1.00044344891511,0.00403737559194523,0.994524936430167,1.00819156959884,0.00237972367744091,0.99652337383093
constrained,Constrained,dopt,40,1000,17.7611140816498,1.0008721840922,0.00511541084163401,0.993202682658696,1.01155524152297,0.00228174549781787,0.993887980616798
