scene_name,criterion,trial_idx,seed,method_id,method_name,objective_init,objective_final,reduction_pct,time_sec,iterations,min_eigJ,min_sin_init,min_sin_final
cube,aopt,1,55,gs_sqp,GS-SQP,1680.12711805293,1116.59494691276,33.5410437153848,3.06365716666667,10,0.00268666292636831,1,1
cube,aopt,1,55,iso_sqp,Iso-SQP,1680.12711805293,1181.9351384057,29.6520408660847,3.764141,100,0.00253754803866391,1,1
cube,aopt,1,55,manopt,Manopt,1680.12711805293,1116.59495360628,33.541043316991,4.80819395833333,50,0.00268672637288943,1,0.965434832130243
cube,aopt,1,55,tr_sqp,TR-SQP,1680.12711805293,1116.59494618789,33.5410437585286,4.79808829166667,37,0.0026867295618549,1,0.698530092811577
cube,aopt,1,55,pso,PSO,1680.12711805293,1142.47439735918,32.0007167860501,0.466221083333333,80,0.00248773334691819,1,0.352472385943343
cube,aopt,1,55,de,DE,1680.12711805293,1189.9265392435,29.1763982345285,0.924311375,80,0.00229096586623428,1,0.147062748432486
cube,aopt,2,56,gs_sqp,GS-SQP,2721.31330851674,1110.80106709923,59.1814340663083,2.971906125,13,0.00270033850330686,1,1
cube,aopt,2,56,iso_sqp,Iso-SQP,2721.31330851674,1158.61766816761,57.4243191865651,3.79003025,100,0.00258875256803805,1,1
cube,aopt,2,56,manopt,Manopt,2721.31330851674,1110.80106129548,59.1814342795784,4.65570666666667,50,0.00270071258512851,1,0.990011564277076
cube,aopt,2,56,tr_sqp,TR-SQP,2721.31330851674,1110.8010513784,59.1814346440011,4.88867404166667,37,0.00270074337486586,1,0.972930248633983
cube,aopt,2,56,pso,PSO,2721.31330851674,1198.57309871648,55.9560784506005,0.46126425,80,0.00250009497774194,1,0.183749644624829
cube,aopt,2,56,de,DE,2721.31330851674,1186.39622993523,56.4035413995797,0.770684541666667,80,0.00216730089127443,1,0.129633928557984
cube,aopt,3,57,gs_sqp,GS-SQP,2529.17245733977,1130.65488452817,55.2954611202191,2.50765066666667,10,0.00265302674567164,1,1
cube,aopt,3,57,iso_sqp,Iso-SQP,2529.17245733977,1158.25579785263,54.2041589733701,4.273280375,100,0.00258954891232026,1,1
cube,aopt,3,57,manopt,Manopt,2529.17245733977,1130.65487441121,55.2954615202295,6.846411875,50,0.00265331920417899,1,0.963437905661539
cube,aopt,3,57,tr_sqp,TR-SQP,2529.17245733977,1130.65487168733,55.2954616279281,3.968123375,34,0.00265331872814014,1,0.834289160964589
cube,aopt,3,57,pso,PSO,2529.17245733977,1271.73009203033,49.7175414693563,0.708454333333333,80,0.00235854351873688,1,0.275041272048023
cube,aopt,3,57,de,DE,2529.17245733977,1214.98886045947,51.9610117161637,1.06969495833333,80,0.00224903358272677,1,0.699629196248168
cube,aopt,4,58,gs_sqp,GS-SQP,2913.49587832041,1124.64747604132,61.3986934249701,3.04171870833333,12,0.00266730340981479,1,1
cube,aopt,4,58,iso_sqp,Iso-SQP,2913.49587832041,1154.19881989511,60.3844018286207,3.837070625,100,0.00259800527532952,1,1
cube,aopt,4,58,manopt,Manopt,2913.49587832041,1124.64747964815,61.3986933011727,4.74197495833333,50,0.00266748995313429,1,0.978566359468212
cube,aopt,4,58,tr_sqp,TR-SQP,2913.49587832041,1124.6474716617,61.3986935752921,4.88383079166667,37,0.00266749232079126,1,0.809470195110059
cube,aopt,4,58,pso,PSO,2913.49587832041,1124.70952316914,61.3965637796776,0.443334,80,0.002639579670472,1,0.19686421584745
cube,aopt,4,58,de,DE,2913.49587832041,1223.48726263182,58.0062126829868,0.878714125,80,0.00193831465378023,1,0.197327145455316
cube,aopt,5,59,gs_sqp,GS-SQP,1547.59931125425,1125.13706942415,27.2979083641308,3.52235270833333,17,0.00266384964849044,1,1
cube,aopt,5,59,iso_sqp,Iso-SQP,1547.59931125425,1145.56437205708,25.9779735150787,3.25665766666667,100,0.00261795397787567,1,1
cube,aopt,5,59,manopt,Manopt,1547.59931125425,1125.13647735327,27.2979466215064,5.46029633333333,50,0.00266623939380324,1,0.997081307232526
cube,aopt,5,59,tr_sqp,TR-SQP,1547.59931125425,1125.13646810356,27.2979472191876,4.28069783333333,34,0.00266632041457618,1,0.907846074663288
cube,aopt,5,59,pso,PSO,1547.59931125425,1154.23114161487,25.417959725026,0.454584333333333,80,0.00259541711951078,1,0.937088999238053
cube,aopt,5,59,de,DE,1547.59931125425,1216.23598632543,21.4114417420015,0.847809375,80,0.00234351251329319,1,0.609680226734856
cube,aopt,6,60,gs_sqp,GS-SQP,1595.72811143144,1114.44144648365,30.1609441796484,2.88951704166667,11,0.00269077409371617,1,1
cube,aopt,6,60,iso_sqp,Iso-SQP,1595.72811143144,1164.80742305239,27.004643541217,3.82967595833333,100,0.00257395559608992,1,1
cube,aopt,6,60,manopt,Manopt,1595.72811143144,1114.44114461628,30.1609630968666,5.18859883333333,50,0.002691922195841,1,0.989908960285662
cube,aopt,6,60,tr_sqp,TR-SQP,1595.72811143144,1114.44114159759,30.1609632860401,5.25246820833333,39,0.00269191242643046,1,0.615037822523471
cube,aopt,6,60,pso,PSO,1595.72811143144,1193.21279310576,25.2245552009868,0.677197916666667,80,0.00251328813447204,1,0.122981182935627
cube,aopt,6,60,de,DE,1595.72811143144,1201.83871485732,24.6839918249476,1.033415375,80,0.00221371369613245,1,0.56987837877719
