scene_name,criterion,trial_idx,seed,method_id,method_name,objective_init,objective_final,reduction_pct,time_sec,iterations,min_eigJ,min_sin_init,min_sin_final
free_space,aopt,1,55,gs_sqp,GS-SQP,1112.26705187358,260.893130671793,76.54402058999,3.93575995833333,28,0.00837899029583486,1,1
free_space,aopt,1,55,iso_sqp,Iso-SQP,1112.26705187358,428.068239736368,61.513897313123,2.70751958333333,100,0.00597262294922931,1,1
free_space,aopt,1,55,manopt,Manopt,1112.26705187358,260.89876502966,76.5435140247854,5.46007608333333,50,0.00837910753567083,1,0.586701823230838
free_space,aopt,1,55,tr_sqp,TR-SQP,1112.26705187358,260.892679474167,76.5440611555741,9.79663491666667,80,0.00837955157003389,1,0.949979640040788
free_space,aopt,1,55,pso,PSO,1112.26705187358,332.985841226797,70.0624197519929,0.463663583333333,80,0.0067335714599285,1,0.375111187607437
free_space,aopt,1,55,de,DE,1112.26705187358,427.015745902298,61.6085233143424,0.6237835,80,0.00408500797677812,1,0.305152646754859
free_space,aopt,2,56,gs_sqp,GS-SQP,761.226517725033,245.927767524286,67.6932211637536,3.669256,22,0.00888890587443304,1,1
free_space,aopt,2,56,iso_sqp,Iso-SQP,761.226517725033,463.099941612094,39.1639767101002,2.72163120833333,100,0.0054275285172921,1,1
free_space,aopt,2,56,manopt,Manopt,761.226517725033,278.581422403694,63.4036103686653,3.92274345833333,50,0.00775043730971153,1,0.010044414597218
free_space,aopt,2,56,tr_sqp,TR-SQP,761.226517725033,245.927591483869,67.693244289645,7.51022370833333,63,0.00888934379638471,1,0.954987272834609
free_space,aopt,2,56,pso,PSO,761.226517725033,323.586331098813,57.4914531267423,0.425502208333333,80,0.00690704862323489,1,0.205484155132059
free_space,aopt,2,56,de,DE,761.226517725033,485.550590454939,36.2147036198853,0.407359083333333,80,0.00418809104118991,1,0.720142405877861
free_space,aopt,3,57,gs_sqp,GS-SQP,1118.83197413719,293.949970188108,73.7270674254021,4.06370675,28,0.00743764679393803,1,1
free_space,aopt,3,57,iso_sqp,Iso-SQP,1118.83197413719,395.422239417006,64.657585003151,2.79961745833333,100,0.0060079815134007,1,1
free_space,aopt,3,57,manopt,Manopt,1118.83197413719,293.949711506358,73.727090546099,9.947666,50,0.00743711508723703,1,0.540246604370442
free_space,aopt,3,57,tr_sqp,TR-SQP,1118.83197413719,293.949710094162,73.7270906723195,10.7745545,71,0.00743711680381078,1,0.980613618144756
free_space,aopt,3,57,pso,PSO,1118.83197413719,311.899511615861,72.1227566939721,0.494883625,80,0.00712656397912502,1,0.242005657971811
free_space,aopt,3,57,de,DE,1118.83197413719,488.362364959723,56.350696418349,0.549741958333333,80,0.00417919379191194,1,0.299822160490582
free_space,aopt,4,58,gs_sqp,GS-SQP,1010.14771355611,279.819788369049,72.299121740921,3.99355975,23,0.00781309657935237,1,1
free_space,aopt,4,58,iso_sqp,Iso-SQP,1010.14771355611,431.956566344717,57.2382770808774,3.30006604166667,100,0.0066696507348619,1,1
free_space,aopt,4,58,manopt,Manopt,1010.14771355611,279.819701284447,72.299130361898,7.04035354166667,50,0.00781266046221341,1,0.244242291982916
free_space,aopt,4,58,tr_sqp,TR-SQP,1010.14771355611,279.819696272284,72.2991308580792,11.8625284583333,80,0.00781260858204257,1,0.970864572450591
free_space,aopt,4,58,pso,PSO,1010.14771355611,315.748439760408,68.742349705584,0.507957916666667,80,0.00707844769559075,1,0.642384737187696
free_space,aopt,4,58,de,DE,1010.14771355611,526.547810986105,47.8741768238575,0.744641,80,0.00446212342580984,1,0.604050048129616
free_space,aopt,5,59,gs_sqp,GS-SQP,859.93708801161,280.596285953441,67.3701379013376,4.10586020833333,37,0.00779186261837501,1,1
free_space,aopt,5,59,iso_sqp,Iso-SQP,859.93708801161,422.332119442017,50.8880213064708,3.00231883333333,100,0.00686208116389501,1,1
free_space,aopt,5,59,manopt,Manopt,859.93708801161,280.596226631569,67.3701447997344,7.07360170833333,50,0.00779104547613587,1,0.62503300448737
free_space,aopt,5,59,tr_sqp,TR-SQP,859.93708801161,280.596223222417,67.3701451961764,8.66133004166667,65,0.00779104492207832,1,0.926727765059152
free_space,aopt,5,59,pso,PSO,859.93708801161,331.797218783035,61.4161055025277,0.537779333333333,80,0.00655719144532969,1,0.664433048789497
free_space,aopt,5,59,de,DE,859.93708801161,524.505648132409,39.0065092616022,0.802973166666667,80,0.00352809575032466,1,0.657894440379656
